Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2019,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,4149,2662,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,85,64,_Total
2018,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,7,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane Inner City,54527,32871,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5010,2757,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1925,1186,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,3938,2574,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Wheat Belt,4,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4419,2370,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Wheat Belt,8,8,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Hume,176,46,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Mid North Coast,95,77,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,93,58,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Toowoomba,1892,643,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,695,216,_Total
2018,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (North),15,12,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Ballarat,1392,402,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,132,69,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,163,62,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - South West,4950,1791,_Total
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2097,995,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1348,929,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,808,378,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - North,1219,526,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1339,926,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,9,8,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,12,11,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner West,7245,3904,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,238,98,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,695,216,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,1148,549,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,163,62,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Shepparton,38,21,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner West,6699,4213,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - West,1595,794,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Murray,4,4,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - South,4618,1972,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner South West,3185,1808,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Central West,4,4,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,23,20,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Bendigo,119,47,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Bendigo,142,90,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,57,30,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,TAS,Hobart,13644,7698,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,TAS,Hobart,13944,6259,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,SA,South Australia - Outback,4,4,Remote Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Shepparton,36,30,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,22,16,Remote Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - West,4,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - West,4,4,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,20,14,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (South),94,43,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1847,1046,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,27,17,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,North West,178,129,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,1579,964,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,4556,1483,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Central Queensland,291,206,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,15,15,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,9,8,Remote Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5010,2757,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Cairns,2415,1313,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Townsville,1839,1025,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - North West,4,4,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,4065,2594,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,808,378,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Bunbury,79,49,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Mandurah,122,56,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1924,1185,Major Cities of Australia
2018,Dec,Belgium,_Total,_Total,_Total,ACT,Australian Capital Territory,11,8,_Total
2018,Dec,Botswana,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,ACT,Australian Capital Territory,76,31,_Total
2018,Dec,Honduras,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Iraq,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,ACT,Australian Capital Territory,53,33,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,ACT,Australian Capital Territory,31,18,_Total
2018,Dec,Philippines,_Total,_Total,_Total,ACT,Australian Capital Territory,218,100,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,ACT,Australian Capital Territory,5,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,ACT,Australian Capital Territory,30,24,_Total
2018,Dec,Thailand,_Total,_Total,_Total,ACT,Australian Capital Territory,150,76,_Total
2018,Dec,United States of America,_Total,_Total,_Total,ACT,Australian Capital Territory,128,81,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,ACT,Australian Capital Territory,377,168,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Central West,28,10,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Central West,16,10,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Illawarra,16,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Illawarra,15,7,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Illawarra,9,5,_Total
2018,Dec,Oman,_Total,_Total,_Total,NSW,Illawarra,45,23,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Illawarra,31,21,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Mid North Coast,37,32,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Murray,5,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,New England and North West,13,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,New England and North West,9,6,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Algeria,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Australia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Brunei Darussalam,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,13,4,_Total
2018,Dec,Estonia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,6,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,44,17,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,68,47,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,6,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,5,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,8,4,_Total
2018,Dec,Sudan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,6,4,_Total
2018,Dec,Turkey,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Uzbekistan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Richmond - Tweed,59,33,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Richmond - Tweed,92,54,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Richmond - Tweed,24,14,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Richmond - Tweed,46,32,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Riverina,6,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Argentina,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,14,7,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,68,47,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,39,30,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,48,28,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,18,15,_Total
2018,Dec,Turkey,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,NSW,Sydney - Blacktown,6,4,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Blacktown,5,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Sydney - Blacktown,24,17,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Sydney - Blacktown,16,11,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Blacktown,22,12,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - Blacktown,15,9,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Blacktown,5,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Blacktown,186,142,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Albania,_Total,_Total,_Total,NSW,Sydney - City and Inner South,6,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,NSW,Sydney - City and Inner South,6,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - City and Inner South,760,348,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - City and Inner South,7710,5356,_Total
2018,Dec,Dominican Republic,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,NSW,Sydney - City and Inner South,14,8,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - City and Inner South,103,45,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,NSW,Sydney - City and Inner South,46,21,_Total
2018,Dec,Libya,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Montenegro,_Total,_Total,_Total,NSW,Sydney - City and Inner South,6,4,_Total
2018,Dec,Nicaragua,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Panama,_Total,_Total,_Total,NSW,Sydney - City and Inner South,5,4,_Total
2018,Dec,San Marino,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - City and Inner South,504,314,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - City and Inner South,16,8,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - City and Inner South,327,151,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - City and Inner South,6572,3238,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,26,17,_Total
2018,Dec,Botswana,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,40,17,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,104,76,_Total
2018,Dec,Djibouti,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Honduras,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,18,9,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,104,42,_Total
2018,Dec,Namibia,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,252,168,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,48,22,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,542,214,_Total
2018,Dec,Stateless Person,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,418,177,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Inner South West,11,8,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - Inner South West,64,34,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - Inner South West,31,15,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - Inner South West,141,72,_Total
2018,Dec,Maldives,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - Inner South West,6,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Inner West,5,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Inner West,5,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - Inner West,174,141,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - Inner West,401,257,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,14,12,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,86,43,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Madagascar,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Malawi,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,34,24,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,7,5,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,110,30,_Total
2018,Dec,Peru,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,41,26,_Total
2018,Dec,Sierra Leone,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,7,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Yemen,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5,4,_Total
2018,Dec,Finland,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Monaco,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,75,71,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,38,25,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,78,39,_Total
2018,Dec,Azerbaijan,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Outer South West,16,15,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Outer South West,8,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - Outer South West,157,92,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Sydney - Outer South West,91,53,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Sydney - Outer South West,39,19,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - Outer South West,32,12,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - Outer South West,33,15,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Outer South West,7,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Costa Rica,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,159,47,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,27,6,_Total
2018,Dec,Montenegro,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,14,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,32,11,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Sydney - Parramatta,5,4,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - Parramatta,54,34,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Parramatta,9,5,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - Parramatta,31,13,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - Parramatta,6,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - Parramatta,108,59,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Parramatta,9,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Parramatta,127,60,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Parramatta,40,17,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Parramatta,9,6,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Parramatta,539,332,_Total
2018,Dec,Seychelles,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Parramatta,125,32,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Tajikistan,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - Parramatta,559,260,_Total
2018,Dec,Brunei Darussalam,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Ryde,101,63,_Total
2018,Dec,El Salvador,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Ryde,19,7,_Total
2018,Dec,Guyana,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Libya,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - Ryde,225,102,_Total
2018,Dec,Montenegro,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
